ax   ay   az   gx   gy   gz   mx   my   mz
time 8:53:21	mag_center= 610 180 400		radii = 1.000000 1.000000 1.000000		fitacry = 0.000000 0.000000
-362 -792 1210 -217 -28 128 277 -336 -1928 
756 -674 930 -315 -266 251 225 -394 -1909 
399 -715 1751 -315 -433 402 133 -498 -1948 
507 -968 177 -336 -621 333 23 -608 -1986 
1061 -508 1057 -850 -1136 281 -122 -782 -2200 
814 -633 -857 -586 -972 245 -197 -920 -2470 
1025 -166 -225 -546 -911 231 -122 -1013 -2799 
773 -225 -749 -1122 -902 99 -18 -973 -3083 
219 -521 -759 -961 -812 25 179 -787 -3309 
460 -347 -985 -887 -737 -19 364 -579 -3374 
-159 -814 -528 -731 -650 -16 555 -336 -3367 
-229 -663 -1403 -379 -385 -63 671 -203 -3277 
-78 -825 -976 -135 -152 -43 734 -163 -3258 
78 -739 -1875 2 83 18 746 -139 -3244 
395 -510 -1036 264 465 137 688 -174 -3283 
637 -107 -1003 713 968 175 468 -278 -3367 
816 54 -471 966 1012 55 231 -504 -3328 
873 219 -66 1093 997 -73 -18 -735 -3142 
751 206 369 1092 824 -132 -180 -874 -2896 
630 202 544 894 574 -179 -209 -874 -2638 
281 143 865 745 465 -172 -249 -799 -2432 
391 241 927 456 253 -149 -232 -712 -2329 
222 204 882 271 80 -129 -215 -666 -2289 
225 242 955 232 85 -119 -220 -585 -2270 
251 273 909 85 38 -79 -215 -550 -2264 
198 269 936 76 19 -56 -203 -527 -2264 
145 227 1005 126 71 -47 -209 -487 -2252 
191 244 947 50 37 -27 -191 -487 -2238 
202 243 966 5 3 -13 -191 -475 -2245 
142 206 1027 22 20 -21 -191 -475 -2238 
211 220 945 25 19 -11 -180 -452 -2238 
165 209 997 12 14 -11 -186 -452 -2226 
167 180 978 11 21 -23 -180 -440 -2219 
155 181 995 30 26 -15 -180 -446 -2232 
146 175 981 17 29 -19 -180 -429 -2206 
203 200 966 11 18 -16 -174 -429 -2193 
238 201 982 11 28 -23 -174 -423 -2232 
303 210 879 33 53 -38 -168 -417 -2206 
507 296 934 37 64 -64 -157 -388 -2187 
704 401 969 42 105 -104 -151 -371 -2187 
520 195 815 90 168 -189 -82 -319 -2154 
119 -149 878 49 197 -327 -53 -267 -2135 
-237 -385 977 -73 195 -399 17 -215 -2084 
-397 -604 1113 -184 120 -329 104 -197 -2077 
-389 -716 2006 -363 0 -222 150 -215 -2039 
-116 -674 1593 -515 -315 -40 133 -284 -2000 
450 -197 1028 -633 -823 130 11 -423 -2045 
518 -136 643 -586 -902 238 -151 -585 -2193 
843 23 -88 -367 -829 277 -226 -695 -2361 
907 50 -129 -549 -876 252 -255 -805 -2625 
799 -135 -431 -579 -783 193 -197 -845 -2858 
792 -248 -612 -553 -722 98 -110 -811 -3070 
268 -635 -915 -566 -723 39 52 -741 -3245 
654 -391 -1134 -729 -790 9 231 -608 -3349 
-186 -934 -964 -668 -729 28 428 -411 -3374 
285 -609 -1127 -345 -381 -37 555 -301 -3367 
40 -728 -1205 -260 -302 -15 648 -209 -3290 
35 -721 -1239 -11 -4 -48 688 -180 -3283 
380 -510 -1391 276 358 19 659 -209 -3329 
664 -366 -976 574 767 14 497 -336 -3367 
784 -129 -798 903 1040 -94 277 -504 -3341 
788 53 89 1169 1148 -188 11 -730 -3187 
888 258 274 1100 963 -209 -180 -845 -2870 
439 130 578 951 621 -246 -249 -828 -2606 
294 180 677 778 474 -272 -261 -741 -2425 
126 120 804 610 385 -201 -238 -614 -2296 
62 109 1038 362 270 -151 -203 -510 -2225 
93 139 1024 109 109 -120 -180 -458 -2200 
151 156 974 27 36 -73 -163 -411 -2219 
118 136 1068 31 62 -54 -151 -400 -2200 
188 174 1011 7 44 -45 -157 -400 -2168 
154 152 1017 -9 8 -29 -128 -382 -2193 
164 142 997 6 18 -28 -139 -359 -2168 
218 145 1006 2 17 -23 -134 -382 -2187 
199 126 970 -3 20 -29 -128 -353 -2174 
200 98 991 -1 24 -39 -122 -371 -2187 
352 149 937 -24 17 -42 -93 -365 -2154 
time 8:53:43	strokes=2	laps=0	style=0
335 131 856 -9 39 -51 -93 -353 -2148 
389 89 940 -35 72 -105 -70 -336 -2129 
